date,fund,return
2022-11-09,Combined Min-Variance,-0.012749571678684323
2022-11-10,Combined Min-Variance,0.02417453887750727
2022-11-11,Combined Min-Variance,-0.004177866459919864
2022-11-14,Combined Min-Variance,-0.0020087444523719184
2022-11-15,Combined Min-Variance,0.007571431118098301
2022-11-16,Combined Min-Variance,-0.0011731530239411873
2022-11-17,Combined Min-Variance,0.0035225180169067643
2022-11-18,Combined Min-Variance,0.008604177191546318
2022-11-21,Combined Min-Variance,0.0036227938124133944
2022-11-22,Combined Min-Variance,0.009686915365630468
2022-11-23,Combined Min-Variance,-0.0002639541434515775
2022-11-25,Combined Min-Variance,0.0010297880498914692
2022-11-28,Combined Min-Variance,-0.010333999995468758
2022-11-29,Combined Min-Variance,0.0032337321557623106
2022-11-30,Combined Min-Variance,0.017743754891022
2022-12-01,Combined Min-Variance,0.002026711308280299
2022-12-02,Combined Min-Variance,0.002915289419744012
2022-12-05,Combined Min-Variance,-0.008777305985107859
2022-12-06,Combined Min-Variance,-0.00994945941931093
2022-12-07,Combined Min-Variance,0.002828569076848382
2022-12-08,Combined Min-Variance,0.004570937552355281
2022-12-09,Combined Min-Variance,-0.01530988826032833
2022-12-12,Combined Min-Variance,0.007396813156353314
2022-12-13,Combined Min-Variance,0.003433530248786256
2022-12-14,Combined Min-Variance,-0.0003632729041321108
2022-12-15,Combined Min-Variance,-0.015427318534757007
2022-12-16,Combined Min-Variance,-0.00633775324837662
2022-12-19,Combined Min-Variance,-0.0014896644199393256
2022-12-20,Combined Min-Variance,0.0008681845723121831
2022-12-21,Combined Min-Variance,0.011528103009145873
2022-12-22,Combined Min-Variance,-0.004585906107503307
2022-12-23,Combined Min-Variance,0.004600454183016074
2022-12-27,Combined Min-Variance,0.0015819042000710438
2022-12-28,Combined Min-Variance,-0.010288557149674424
2022-12-29,Combined Min-Variance,0.006861367671802905
2022-12-30,Combined Min-Variance,-0.00021254605743374483
2023-01-03,Combined Min-Variance,0.0005770932304561141
2023-01-04,Combined Min-Variance,0.008887077874316232
2023-01-05,Combined Min-Variance,0.0009816006548501264
2023-01-06,Combined Min-Variance,0.015120754824767844
2023-01-09,Combined Min-Variance,-0.016120052720030777
2023-01-10,Combined Min-Variance,0.0024452773659545974
2023-01-11,Combined Min-Variance,0.0025654569840154475
2023-01-12,Combined Min-Variance,-0.002952862243400723
2023-01-13,Combined Min-Variance,0.0028135609387402176
2023-01-17,Combined Min-Variance,-0.006857234539156699
